"Device Name","DD Status","DS Status","KC Status","AD Status","AR Status","AI Status","SI Status","Last Sync"
"MINI-FIN-DNEGSN","Enabled","BlockedByProfile","LikelyEnabled","BlockedByProfile","Enabled","AllBlocked","BlockedByProfile","2026-03-15 07:24"
"MINI-EXEC-OBSDXS","BlockedByProfile","BlockedByProfile","BlockedByProfile","Disabled","BlockedByProfile","Available","Enabled","2026-03-19 15:52"
"MBP-HR-UHQDBP","BlockedByProfile","Inactive","LikelyEnabled","Enabled","Enabled","AllBlocked","Enabled","2026-03-19 15:03"
"IMAC-OPS-AVAABR","Enabled","Active","LikelyEnabled","Enabled","DisabledByUser","PartiallyManaged","BlockedByProfile","2026-03-10 09:37"
"STUDIO-MKT-SECLIU","Enabled","BlockedByProfile","BlockedByProfile","Disabled","Enabled","PartiallyManaged","Enabled","2026-03-20 05:14"
"MBP-HR-PKCZDC","Enabled","Active","NoiCloudAccount","Enabled","DisabledByUser","Available","BlockedByProfile","2026-03-11 19:18"
"MBA-FIN-AGYZUD","Disabled","Active","NoiCloudAccount","Enabled","Enabled","N/A","Enabled","2026-03-06 22:57"
"STUDIO-EXEC-DCAEYS","BlockedByProfile","N/A","N/A","Disabled","Enabled","Available","BlockedByProfile","2026-03-11 11:40"
"MINI-HR-INUGXR","Enabled","Inactive","LikelyEnabled","Disabled","DisabledByUser","AllBlocked","Unknown","2026-03-06 22:36"
"STUDIO-FIN-PFQNSC","Disabled","BlockedByProfile","BlockedByProfile","Disabled","BlockedByProfile","Available","Unknown","2026-03-20 09:17"
"MBA-FIN-HHWMJL","Disabled","N/A","LikelyEnabled","Disabled","Enabled","Available","Unknown","2026-03-11 20:06"
"STUDIO-ENG-MWIXWX","Enabled","N/A","LikelyEnabled","Disabled","BlockedByProfile","N/A","Enabled","2026-03-10 10:09"
"IMAC-ENG-RNJIFP","Disabled","Active","LikelyEnabled","Disabled","Enabled","N/A","Enabled","2026-03-12 02:20"
"MBA-DEV-CYERFQ","Disabled","Active","LikelyEnabled","Enabled","BlockedByProfile","PartiallyManaged","Unknown","2026-03-11 05:11"
"IMAC-EXEC-SIPTLZ","BlockedByProfile","BlockedByProfile","LikelyEnabled","Enabled","Enabled","Available","BlockedByProfile","2026-03-10 01:24"
"MBA-IT-MXYNFY","Disabled","Inactive","BlockedByProfile","Enabled","Enabled","N/A","BlockedByProfile","2026-03-07 21:20"
"MAC-FIN-JCAQAG","Disabled","Configured","LikelyEnabled","BlockedByProfile","Enabled","AllBlocked","Enabled","2026-03-20 09:50"
"MBP-SEC-UNSXRX","BlockedByProfile","Configured","NoiCloudAccount","Disabled","BlockedByProfile","Available","DisabledByUser","2026-03-09 05:47"
"STUDIO-EXEC-VLXFHV","BlockedByProfile","Active","NoiCloudAccount","Enabled","Unknown","Available","DisabledByUser","2026-03-07 09:56"
"IMAC-MKT-DFTDDM","BlockedByProfile","Active","BlockedByProfile","BlockedByProfile","Enabled","Available","DisabledByUser","2026-03-07 11:11"
"MBA-OPS-VWBVLV","Disabled","Active","BlockedByProfile","BlockedByProfile","Enabled","AllBlocked","BlockedByProfile","2026-03-11 04:07"
"MBP-FIN-CMNJMR","Enabled","Configured","N/A","Enabled","Enabled","PartiallyManaged","Unknown","2026-03-14 16:53"
"MAC-LEGAL-LVCMFR","Disabled","Active","BlockedByProfile","BlockedByProfile","Unknown","Available","BlockedByProfile","2026-03-16 22:58"
"MBA-DEV-HEMBDE","Enabled","N/A","LikelyEnabled","Enabled","DisabledByUser","Available","Enabled","2026-03-10 13:38"
"MBP-SEC-XWBDZH","Enabled","Active","BlockedByProfile","Enabled","Enabled","AllBlocked","DisabledByUser","2026-03-15 22:59"
